-- 1. Who are the top 10 users with respect to number of songs listened to?

|user_id       |num_listens|
|--------------|-----------|
|hds           |46,885     |
|Groschi       |14,959     |
|Silent Singer |13,005     |
|phdnk         |12,861     |
|6d6f7274686f6e|11,544     |
|reverbel      |8,398      |
|Cl�psHydra    |8,318      |
|InvincibleAsia|7,804      |
|cimualte      |7,356      |
|inhji         |6,349      |


-- 2. How Many Users Listened to a Song on March 1, 2019?

|num_users|
|---------|
|75       |

-- 3. First Song Listened to by Each User

|user_id              |track_name                                                      |artist_name                                                      |listened_at            |
|---------------------|----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------|
|m0rth0n              |thru the void                                                   |black dresses                                                    |2019-04-12 22:01:49.000|
|mankymusic           |lemniscaat: refrain                                             |simeon ten holt                                                  |2019-01-01 02:08:44.000|
|meisterhauns         |s.a.d.o.s. (feat. jaq)                                          |dexter                                                           |2019-02-26 22:12:31.000|
|miketwiss            |what happened (mastered)                                        |mike twiss                                                       |2019-02-24 21:26:31.000|
|milk                 |mind ecology                                                    |shakti with john mclaughlin                                      |2019-01-14 09:18:12.000|
|reverbel             |revolution 1                                                    |the beatles                                                      |2019-01-01 01:14:51.000|
|marcianofonseca      |trip                                                            |ella mai                                                         |2019-01-19 14:50:55.000|
|mnmontero            |viaje al infinito                                               |riccie oriach                                                    |2019-02-27 15:44:39.000|
|yellams              |hold you under (feat. marcus bridge)                            |polaris                                                          |2019-01-02 09:37:47.000|
|clinford86           |hush little baby                                                |beth mclaughlin                                                  |2019-01-01 18:06:37.000|
|inhji                |cthulhu                                                         |cryo chamber collaboration                                       |2019-01-01 00:24:08.000|
|arcadian99           |crying                                                          |strawpeople                                                      |2019-02-21 12:23:16.000|
|cirfis               |crossing the frame                                              |coheed and cambria                                               |2019-01-13 02:23:07.000|
|kingjan1999          |bratislava                                                      |faber                                                            |2019-03-24 15:22:53.000|
|kmontenegro          |work                                                            |gang starr                                                       |2019-01-01 00:12:23.000|
|AlwinHummels         |geef me je angst                                                |andre hazes                                                      |2019-02-24 11:40:47.000|
|BlackGauna           |visionz                                                         |wu-tang clan                                                     |2019-01-01 18:36:09.000|
|RomaKoks             |про красивую жизнь                                              |банд'эрос                                                        |2019-01-01 00:03:08.000|
|andrew_j_w           |prelude                                                         |foals                                                            |2019-01-01 08:32:36.000|
|bdule2015            |parado no bailão                                                |mc l da vinte & mc gury                                          |2019-02-20 20:05:02.000|
|cimualte             |telecaster stripes (capacity version)                           |polkadot stingray                                                |2019-01-02 07:37:25.000|
|craighoog            |waterwings (and other pool side fashion faux pas)               |alexisonfire                                                     |2019-01-03 19:56:44.000|
|calexzander          |the reason is?                                                  |hawkwind                                                         |2019-02-27 23:07:31.000|
|doronbehar           |april in paris                                                  |count basie & his orchestra                                      |2019-01-06 07:16:03.000|
|flamingspinach       |きみについて                                                          |坂本龍一                                                             |2019-02-21 21:49:29.000|
|haeckle              |late autumn                                                     |christopher schwarzwalder                                        |2019-01-02 11:22:50.000|
|hangy                |nicht von dieser welt                                           |swiss und die andern                                             |2019-01-02 10:46:20.000|
|hellonurse           |all the stars                                                   |kendrick lamar and sza                                           |2019-02-23 20:49:08.000|
|irnchkn              |161: christmas drinks with dan lloyd                            |lionel birnie, daniel friebe, richard moore                      |2019-01-01 09:09:25.000|
|jck2                 |golden chords                                                   |deakin                                                           |2019-01-02 15:35:58.000|
|6d6f7274686f6e       |the leper affinity                                              |opeth                                                            |2019-01-01 10:41:51.000|
|bojarin3             |marionette                                                      |jeff pearce                                                      |2019-02-27 03:30:42.000|
